Date,Day_LST_mean,Night_LST_mean,LST_mean
2014-10-17,35.77672734522602,,
2014-10-18,,15.730000000000018,
2014-10-19,35.64452282682326,16.86589615682428,26.618761345676255
2014-10-20,43.734768724246976,20.32565646282536,32.03106627907154
2014-10-21,43.02558268868355,19.104328655767535,31.07528069278875
2014-10-22,40.83824437513229,19.913502842127084,30.377724100409136
2014-10-23,43.369506132119724,20.34501417191595,31.860001092639536
2014-10-24,38.75843196710494,20.952979252028328,29.778260979716414
2014-10-25,47.845672330453844,22.680920425802217,35.2140727569495
2014-10-26,,17.563847888931882,
2014-10-27,40.71278740899441,19.62195372798489,30.13913464726663
2014-10-28,38.35117321096516,19.023261146673175,28.932279833475242
2014-10-29,43.28097352154901,21.398821824687552,32.42487050067842
2014-10-30,42.055919929851164,20.931038040620024,31.539508420359947
2014-10-31,40.85804708445365,21.580557478302186,31.64058980277652
2014-11-01,43.458732018375414,21.88381014030001,32.822945018255986
2014-11-02,36.76181837902696,,
2014-11-03,48.28498764451657,24.012043907620424,36.03082983722086
2014-11-04,41.6737308902837,22.636691915955286,32.14843683175176
2014-11-05,47.49122447236125,23.54534072346585,35.50204262665234
2014-11-06,36.75035886170525,20.22350391005828,28.72290245003159
2014-11-07,36.89888135593222,17.17860025710867,28.680000000000025
2014-11-08,41.327771626297604,20.620361435313075,30.8796424452134
2014-11-09,36.14188719209638,14.883016213638543,24.851308495320403
2014-11-10,41.452378763376764,22.914229244840005,32.32468833677848
2014-11-11,,16.412058267891585,
2014-11-12,39.256994425881736,,
2014-11-13,38.53475846164436,22.492442923464733,30.578985313931486
2014-11-14,44.67806417782096,23.52315417253923,34.51028795708058
2014-11-15,44.27351836311889,23.078989555907814,33.73589699484302
2014-11-16,43.809645080469934,24.185523697575025,34.435997792111635
2014-11-17,43.442816569516545,22.409943146253468,33.159359174681136
2014-11-18,,,
2014-11-19,38.4987654320988,15.535695760195571,
2014-11-20,,17.702507678550873,
2014-11-21,44.878713836143376,21.565921693363233,33.44554393164016
2014-11-22,46.33500432567993,19.892012259189777,33.074618844761204
2014-11-23,45.42858240929773,21.388455926401047,33.404869226053236
2014-11-24,46.85517896062361,23.116621314512656,34.992312688870015
2014-11-25,42.71778346075664,22.936877702596316,33.30604137155055
2014-11-26,43.765447363466755,22.636192990758193,33.26430475717917
2014-11-27,,22.062086249059888,
2014-11-28,48.412257034114596,23.53412305914235,35.97288427611231
2014-11-29,46.51340427799933,21.92470947453069,34.220903531858546
2014-11-30,41.596219562548356,21.108665307684785,31.73734449343169
2014-12-01,38.673674715158484,20.890269718933272,29.968486101758813
2014-12-02,40.74848964636822,20.004987249260882,30.403435188018715
2014-12-03,45.03167224400654,21.430389851121518,33.090989144876964
2014-12-04,41.1379306430456,,
2014-12-05,49.327247811097735,23.86020930136304,36.575183700558256
2014-12-06,42.71889251821583,20.436043528134753,31.685890200816825
2014-12-07,46.95244945110873,22.079155874866274,34.57732144682902
2014-12-08,35.13435254014538,20.235987570256743,27.26468395755011
2014-12-09,35.849621551424896,,
2014-12-10,40.23280248372779,,
2014-12-11,43.3804675072745,22.269171734391673,
2014-12-12,43.777118093301596,21.076114942528747,28.340000000000003
2014-12-13,,,
2014-12-14,41.40582537517055,23.945616098045733,
2014-12-15,37.304178065042784,,
2014-12-16,42.926062708470745,22.803760333498232,29.358213407134105
2014-12-17,42.472278840561444,,
2014-12-18,,,
2014-12-19,41.19578275407907,,
2014-12-20,,,
2014-12-21,36.02532160206857,23.337917381397403,30.468141366734454
2014-12-22,,,
2014-12-23,,,
2014-12-24,,,
2014-12-25,35.2114465239186,,
2014-12-26,35.617113172541806,,
2014-12-27,,,
2014-12-28,36.63935268756849,22.096778183036957,29.233486228144113
2014-12-29,,,
2014-12-30,,,
2014-12-31,,,
2015-01-01,,,
2015-01-02,,,
2015-01-03,,,
2015-01-04,,,
2015-01-05,,,
2015-01-06,29.180848790990417,,
2015-01-07,,,
2015-01-08,,,
2015-01-09,,,
2015-01-10,26.290994212902785,,
2015-01-11,,,
2015-01-12,,,
2015-01-13,,,
